Track Name,Album,Popularity,Duration (ms),Spotify URL
One Dance,Views,84,173986,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,81,189893,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
God's Plan,Scorpion,81,198973,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
Passionfruit,More Life,81,298940,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",79,218364,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe
Headlines,Take Care (Deluxe),78,235986,https://open.spotify.com/track/6LxSe8YmdPxy095Ux6znaQ
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,78,319191,https://open.spotify.com/track/1yeB8MUNeLo9Ek1UEpsyz6
Circadian Rhythm,100 GIGS,78,126356,https://open.spotify.com/track/1eroCliWpJrEu1V7VSObcO
Teenage Fever,More Life,78,219692,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo
Fair Trade (with Travis Scott),Certified Lover Boy,78,291175,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
